n,i-name,i-class,occ,sub
kirschtomaten,Kirschtomaten,veg,9,B
rotkohl,Rotkohl,veg,1,A
schwarzwurzel,Schwarzwurzel,veg,1,A
senfsamen,Senfsamen,spice,7,B
salzzitrone,Salzzitrone,fruit,2,B
noriblatt,Noriblatt,etc,1,B
sesamöl,Sesamöl,fat,2,B
endivien,Endivien,veg,2,A
parmesan,Parmesan,milk,8,B
cajunmischung,Cajunmischung,spice,1,B
limette,Limette,fruit,49,B
rosmarin,Rosmarin,herb,1,B
reismehl,Reismehl,carb,2,B
curry,Curry,spice,3,B
koriandergrün,Koriandergrün,herb,20,B
pinkelwurst,Pinkelwurst,meat,1,A
saure_sahne,saure_Sahne,milk,2,A
nelke,Nelke,spice,2,A
kascha,Kascha,carb,1,B
bockshornklee,Bockshornklee,herb,1,B
wein,Wein,alc,3,A
spargelerbsen,Spargelerbsen,veg,1,A
zuckerschoten,Zuckerschoten,veg,2,AB
kokosraspel,Kokosraspel,nuts,2,B
tomate,Tomate,veg,14,B
mirin,Mirin,condi,5,B
butterkohl,Butterkohl,veg,1,A
rohrzucker,Rohrzucker,sweet,2,B
feige,Feige,fruit,1,B
kapern,Kapern,spice,3,AB
spitzkohl,Spitzkohl,veg,2,B
pistazie,Pistazie,nuts,1,B
wassermelone,Wassermelone,fruit,1,B
weißwein,Weißwein,alc,1,B
weißbrot,Weißbrot,carb,14,A
avocado,Avocado,veg,4,B
blutorangen,Blutorangen,fruit,1,B
weißkohl,Weißkohl,veg,5,A
crème_fraîche,Crème_fraîche,milk,1,B
mandel,Mandel,nuts,2,B
kalbfleisch,Kalbfleisch,meat,3,A
essig,Essig,condi,28,AB
grünkohl,Grünkohl,veg,1,A
weißweinessig,Weißweinessig,condi,6,B
orange,Orange,fruit,3,B
sardelle,Sardellen,fish,5,AB
panir,Panir,milk,1,B
ei,Ei,egg,56,AB
schalotten,Schalotten,onion,17,B
lorbeer,Lorbeer,herb,4,AB
pflaume,Pflaume,fruit,1,B
nierenfett,Nierenfett,fat,5,A
harissa,Harissa,condi,4,B
joghurt,Joghurt,milk,10,B
rucola,Rucola,veg,1,B
zatar,Zatar,spice,2,B
weintrauben,Weintrauben,fruit,1,B
thaibasilikum,Thaibasilikum,herb,3,B
rote_bete_blätter,Rote_Bete_Blätter,veg,1,B
chaat_masala,Chaat_Masala,spice,2,B
granatapfel,Granatapfel,fruit,1,B
