n1,n2,id,weight,sub
schweineschmalz,grünkohl,grünkohl--schweineschmalz,1,A
schweineschmalz,pinkelwurst,pinkelwurst--schweineschmalz,1,A
schweineschmalz,beeren,beeren--schweineschmalz,1,A
schweineschmalz,krebs,krebs--schweineschmalz,1,A
gewürz,beeren,beeren--gewürz,1,A
gewürz,hecht,gewürz--hecht,1,A
gewürz,krebs,gewürz--krebs,1,A
beeren,hecht,beeren--hecht,1,A
beeren,krebs,beeren--krebs,1,A
stubenküken,nierenfett,nierenfett--stubenküken,1,A
stubenküken,weißbrot,stubenküken--weißbrot,1,A
stubenküken,krebs,krebs--stubenküken,2,A
krebs,hecht,hecht--krebs,1,A
krebs,wein,krebs--wein,1,A
krebs,weißbrot,krebs--weißbrot,2,A
krebs,kalbfleisch,kalbfleisch--krebs,1,A
krebs,nierenfett,krebs--nierenfett,2,A
rotkohl,nelke,nelke--rotkohl,1,A
rotkohl,wein,rotkohl--wein,1,A
pinkelwurst,grünkohl,grünkohl--pinkelwurst,1,A
nelke,weißkohl,nelke--weißkohl,1,A
nelke,wein,nelke--wein,1,A
wein,weißbrot,wein--weißbrot,2,A
wein,kalbfleisch,kalbfleisch--wein,2,A
wein,nierenfett,nierenfett--wein,2,A
weißbrot,weißkohl,weißbrot--weißkohl,1,A
weißbrot,kalbfleisch,kalbfleisch--weißbrot,3,A
weißbrot,nierenfett,nierenfett--weißbrot,5,A
weißkohl,nierenfett,nierenfett--weißkohl,1,A
kalbfleisch,nierenfett,kalbfleisch--nierenfett,3,A
A_e_mixed
artischocke,weizenmehl,artischocke--weizenmehl,1,A
artischocke,sardelle,artischocke--sardelle,1,A
artischocke,ei,artischocke--ei,1,A
artischocke,kapern,artischocke--kapern,1,A
artischocke,butter,artischocke--butter,1,A
artischocke,muskat,artischocke--muskat,1,A
artischocke,essig,artischocke--essig,1,A
petersilie,stubenküken,petersilie--stubenküken,1,A
petersilie,krebs,krebs--petersilie,2,A
petersilie,ackerbohne,ackerbohne--petersilie,1,A
bratfett,lorbeer,bratfett--lorbeer,1,A
bratfett,apfel,apfel--bratfett,2,A
bratfett,pfeffer,bratfett--pfeffer,1,A
bratfett,zwiebel,bratfett--zwiebel,1,A
bratfett,butter,bratfett--butter,3,A
bratfett,essig,bratfett--essig,3,A
bratfett,kartoffel,bratfett--kartoffel,1,A
gurke,zwieback,gurke--zwieback,2,A
gurke,fleischbrühe,fleischbrühe--gurke,2,A
gurke,weißbrot,gurke--weißbrot,1,A
gurke,kalbfleisch,gurke--kalbfleisch,1,A
gurke,nierenfett,gurke--nierenfett,1,A
zwieback,pfeffer,pfeffer--zwieback,1,A
zwieback,spinat,spinat--zwieback,1,A
zwieback,muskat,muskat--zwieback,19,A
zwieback,hefe,hefe--zwieback,1,A
zwieback,champignon,champignon--zwieback,1,A
zwieback,lauch,lauch--zwieback,1,A
zwieback,zucker,zucker--zwieback,3,A
zwieback,weizenmehl,weizenmehl--zwieback,4,A
zwieback,rosenkohl,rosenkohl--zwieback,2,A
zwieback,sultaninen,sultaninen--zwieback,1,A
zwieback,spargel,spargel--zwieback,3,A
zwieback,zwiebel,zwieback--zwiebel,2,A
zwieback,kartoffel,kartoffel--zwieback,6,A
zwieback,butter,butter--zwieback,23,A
zwieback,essig,essig--zwieback,8,A
zwieback,sahne,sahne--zwieback,3,A
zwieback,brot,brot--zwieback,1,A
zwieback,ei,ei--zwieback,9,A
zwieback,milch,milch--zwieback,7,A
zwieback,apfel,apfel--zwieback,1,A
zwieback,stärke,stärke--zwieback,2,A
zwieback,karotte,karotte--zwieback,1,A
zwieback,zitrone,zitrone--zwieback,4,A
zwieback,kümmel,kümmel--zwieback,1,A
sauerampfer,sahne,sahne--sauerampfer,1,A
sauerampfer,butter,butter--sauerampfer,1,A
sauerampfer,muskat,muskat--sauerampfer,1,A
spargel,taube,spargel--taube,1,A
spargel,fleischbrühe,fleischbrühe--spargel,2,A
spargel,speck,spargel--speck,1,A
spargel,weißbrot,spargel--weißbrot,2,A
spargel,rindfleisch,rindfleisch--spargel,1,A
spargel,nierenfett,nierenfett--spargel,1,A
spargel,stubenküken,spargel--stubenküken,1,A
spargel,krebs,krebs--spargel,1,A
piment,grünkohl,grünkohl--piment,1,A
piment,gänsefett,gänsefett--piment,1,A
piment,pinkelwurst,piment--pinkelwurst,1,A
piment,schweineschmalz,piment--schweineschmalz,1,A
knollensellerie,fleischbrühe,fleischbrühe--knollensellerie,2,A
knollensellerie,wein,knollensellerie--wein,1,A
knollensellerie,weißbrot,knollensellerie--weißbrot,1,A
knollensellerie,kalbfleisch,kalbfleisch--knollensellerie,1,A
knollensellerie,bratenjus,bratenjus--knollensellerie,1,A
knollensellerie,nierenfett,knollensellerie--nierenfett,1,A
weiße_bohnen,speck,speck--weiße_bohnen,1,A
brühe,pfeffer,brühe--pfeffer,2,A
brühe,butter,brühe--butter,5,A
brühe,kümmel,brühe--kümmel,2,A
brühe,sahne,brühe--sahne,1,A
brühe,grüne_bohnen,brühe--grüne_bohnen,1,A
brühe,zwiebel,brühe--zwiebel,1,A
brühe,stärke,brühe--stärke,2,A
brühe,kartoffel,brühe--kartoffel,4,A
ackerrettich,essig,ackerrettich--essig,1,A
ackerrettich,butter,ackerrettich--butter,1,A
ackerrettich,muskat,ackerrettich--muskat,1,A
austern,weizenmehl,austern--weizenmehl,1,A
austern,sardelle,austern--sardelle,1,A
austern,ei,austern--ei,1,A
austern,kapern,austern--kapern,1,A
austern,butter,austern--butter,1,A
austern,muskat,austern--muskat,1,A
austern,essig,austern--essig,1,A
bratenjus,weizenmehl,bratenjus--weizenmehl,1,A
bratenjus,pfeffer,bratenjus--pfeffer,1,A
bratenjus,zwiebel,bratenjus--zwiebel,1,A
bratenjus,butter,bratenjus--butter,2,A
bratenjus,muskat,bratenjus--muskat,1,A
bratenjus,stärke,bratenjus--stärke,1,A
bratenjus,kartoffel,bratenjus--kartoffel,1,A
teltower_rüben,butter,butter--teltower_rüben,1,A
teltower_rüben,weizenmehl,teltower_rüben--weizenmehl,1,A
teltower_rüben,zucker,teltower_rüben--zucker,1,A
sahne,sauerkraut,sahne--sauerkraut,1,A
sahne,stielmus,sahne--stielmus,1,A
sahne,schweineschmalz,sahne--schweineschmalz,1,A
sahne,gewürz,gewürz--sahne,1,A
sahne,beeren,beeren--sahne,1,A
sahne,krebs,krebs--sahne,2,A
sahne,portulak,portulak--sahne,1,A
sahne,fleischbrühe,fleischbrühe--sahne,3,A
sahne,hecht,hecht--sahne,1,A
sahne,weißbrot,sahne--weißbrot,2,A
sahne,hering,hering--sahne,1,A
gelbe_erbsen,zwiebel,gelbe_erbsen--zwiebel,1,A
gelbe_erbsen,butter,butter--gelbe_erbsen,1,A
stärke,sauerkraut,sauerkraut--stärke,2,A
stärke,gänsefett,gänsefett--stärke,2,A
stärke,schweineschmalz,schweineschmalz--stärke,4,A
