n1,n2,id,weight,sub
bratwurst,gänsefett,bratwurst--gänsefett,1,A
bratwurst,fleischbrühe,bratwurst--fleischbrühe,1,A
bratwurst,brühe,bratwurst--brühe,1,A
gänsefett,pinkelwurst,gänsefett--pinkelwurst,1,A
gänsefett,grünkohl,gänsefett--grünkohl,1,A
gänsefett,schweineschmalz,gänsefett--schweineschmalz,2,A
gänsefett,brühe,brühe--gänsefett,1,A
kalbfleisch,nierenfett,kalbfleisch--nierenfett,3,A
kalbfleisch,fleischbrühe,fleischbrühe--kalbfleisch,3,A
kalbfleisch,zwieback,kalbfleisch--zwieback,1,A
schweineschmalz,pinkelwurst,pinkelwurst--schweineschmalz,1,A
schweineschmalz,beeren,beeren--schweineschmalz,1,A
schweineschmalz,zwieback,schweineschmalz--zwieback,1,A
schweineschmalz,schweinefleisch,schweinefleisch--schweineschmalz,1,A
schweineschmalz,grünkohl,grünkohl--schweineschmalz,1,A
schweineschmalz,brühe,brühe--schweineschmalz,4,A
senf,fleischbrühe,fleischbrühe--senf,2,A
senf,austern,austern--senf,1,A
bratfett,nelke,bratfett--nelke,2,A
gartenmelde,zwieback,gartenmelde--zwieback,1,A
grünkohl,pinkelwurst,grünkohl--pinkelwurst,1,A
rindfleisch,nierenfett,nierenfett--rindfleisch,2,A
rindfleisch,zwieback,rindfleisch--zwieback,1,A
rindfleisch,fleischbrühe,fleischbrühe--rindfleisch,1,A
rindfleisch,taube,rindfleisch--taube,1,A
mairüben,fleischbrühe,fleischbrühe--mairüben,1,A
teltower_rüben,fleischbrühe,fleischbrühe--teltower_rüben,1,A
hopfen,zwieback,hopfen--zwieback,1,A
fleischbrühe,zwieback,fleischbrühe--zwieback,12,A
fleischbrühe,endivien,endivien--fleischbrühe,2,A
fleischbrühe,wurzeln,fleischbrühe--wurzeln,1,A
fleischbrühe,nierenfett,fleischbrühe--nierenfett,4,A
zwieback,endivien,endivien--zwieback,2,A
zwieback,nierenfett,nierenfett--zwieback,1,A
zwieback,beeren,beeren--zwieback,1,A
zwieback,brühe,brühe--zwieback,1,A
zwieback,ackerrettich,ackerrettich--zwieback,1,A
nierenfett,taube,nierenfett--taube,1,A
beeren,brühe,beeren--brühe,1,A
A_e_mixed
erbsen,stubenküken,erbsen--stubenküken,1,A
erbsen,krebs,erbsen--krebs,2,A
sauerampfer,butter,butter--sauerampfer,1,A
sauerampfer,sahne,sahne--sauerampfer,1,A
sauerampfer,muskat,muskat--sauerampfer,1,A
petersilie,krebs,krebs--petersilie,2,A
petersilie,ackerbohne,ackerbohne--petersilie,1,A
petersilie,stubenküken,petersilie--stubenküken,1,A
wirsing,butter,butter--wirsing,2,A
wirsing,muskat,muskat--wirsing,1,A
sauerkraut,stärke,sauerkraut--stärke,2,A
sauerkraut,sahne,sahne--sauerkraut,1,A
sauerkraut,kümmel,kümmel--sauerkraut,2,A
sauerkraut,pfeffer,pfeffer--sauerkraut,2,A
sauerkraut,butter,butter--sauerkraut,2,A
sauerkraut,kartoffel,kartoffel--sauerkraut,3,A
steckrübe,fleischbrühe,fleischbrühe--steckrübe,2,A
wacholder,stärke,stärke--wacholder,1,A
wacholder,pfeffer,pfeffer--wacholder,1,A
wacholder,butter,butter--wacholder,1,A
wacholder,kartoffel,kartoffel--wacholder,1,A
wacholder,kümmel,kümmel--wacholder,1,A
weißbrot,stärke,stärke--weißbrot,2,A
weißbrot,sahne,sahne--weißbrot,2,A
